RUL,engine_number
112,1
98,2
69,3
82,4
91,5
93,6
91,7
95,8
111,9
96,10
97,11
124,12
95,13
107,14
83,15
84,16
50,17
28,18
87,19
16,20
57,21
111,22
113,23
20,24
145,25
119,26
66,27
97,28
90,29
115,30
8,31
48,32
106,33
7,34
11,35
19,36
21,37
50,38
142,39
28,40
18,41
10,42
59,43
109,44
114,45
47,46
135,47
92,48
21,49
79,50
114,51
29,52
26,53
97,54
137,55
15,56
103,57
37,58
114,59
100,60
21,61
54,62
72,63
28,64
128,65
14,66
77,67
8,68
121,69
94,70
118,71
50,72
131,73
126,74
113,75
10,76
34,77
107,78
63,79
90,80
8,81
9,82
137,83
58,84
118,85
89,86
116,87
115,88
136,89
28,90
38,91
20,92
85,93
55,94
128,95
137,96
82,97
59,98
117,99
20,100
18,1
79,2
106,3
110,4
15,5
155,6
6,7
90,8
11,9
79,10
6,11
73,12
30,13
11,14
37,15
67,16
68,17
99,18
22,19
54,20
97,21
10,22
142,23
77,24
88,25
163,26
126,27
138,28
83,29
78,30
75,31
11,32
53,33
173,34
63,35
100,36
151,37
55,38
48,39
37,40
44,41
27,42
18,43
6,44
15,45
112,46
131,47
13,48
122,49
13,50
98,51
53,52
52,53
106,54
103,55
152,56
123,57
26,58
178,59
73,60
169,61
39,62
39,63
14,64
11,65
121,66
86,67
56,68
115,69
17,70
148,71
104,72
78,73
86,74
98,75
36,76
94,77
52,78
91,79
15,80
141,81
74,82
146,83
17,84
47,85
194,86
21,87
79,88
97,89
8,90
9,91
73,92
183,93
97,94
73,95
49,96
31,97
97,98
9,99
14,100
106,101
8,102
8,103
106,104
116,105
120,106
61,107
168,108
35,109
80,110
9,111
50,112
151,113
78,114
91,115
7,116
181,117
150,118
106,119
15,120
67,121
145,122
180,123
7,124
179,125
124,126
82,127
108,128
79,129
121,130
120,131
39,132
38,133
9,134
167,135
87,136
88,137
7,138
51,139
55,140
155,141
47,142
81,143
43,144
98,145
10,146
92,147
11,148
165,149
34,150
115,151
59,152
99,153
103,154
108,155
83,156
171,157
15,158
9,159
42,160
13,161
41,162
88,163
14,164
155,165
188,166
96,167
82,168
135,169
182,170
36,171
107,172
14,173
95,174
142,175
23,176
6,177
144,178
35,179
97,180
68,181
14,182
67,183
191,184
19,185
10,186
158,187
183,188
43,189
12,190
148,191
13,192
37,193
122,194
80,195
93,196
132,197
32,198
103,199
174,200
111,201
68,202
192,203
121,204
134,205
48,206
85,207
8,208
23,209
8,210
6,211
57,212
83,213
172,214
101,215
81,216
86,217
165,218
73,219
121,220
139,221
75,222
151,223
145,224
11,225
108,226
14,227
126,228
61,229
85,230
8,231
101,232
153,233
89,234
190,235
12,236
62,237
134,238
101,239
121,240
167,241
17,242
161,243
181,244
16,245
152,246
148,247
56,248
111,249
23,250
84,251
12,252
43,253
48,254
122,255
191,256
56,257
131,258
51,259
44,1
51,2
27,3
120,4
101,5
99,6
71,7
55,8
55,9
66,10
77,11
115,12
115,13
31,14
108,15
56,16
136,17
132,18
85,19
56,20
18,21
119,22
78,23
9,24
58,25
11,26
88,27
144,28
124,29
89,30
79,31
55,32
71,33
65,34
87,35
137,36
145,37
22,38
8,39
41,40
131,41
115,42
128,43
69,44
111,45
7,46
137,47
55,48
135,49
11,50
78,51
120,52
87,53
87,54
55,55
93,56
88,57
40,58
49,59
128,60
129,61
58,62
117,63
28,64
115,65
87,66
92,67
103,68
100,69
63,70
35,71
45,72
99,73
117,74
45,75
27,76
86,77
20,78
18,79
133,80
15,81
6,82
145,83
104,84
56,85
25,86
68,87
144,88
41,89
51,90
81,91
14,92
67,93
10,94
127,95
113,96
123,97
17,98
8,99
28,100
22,1
39,2
107,3
75,4
149,5
78,6
94,7
14,8
99,9
162,10
143,11
7,12
71,13
105,14
12,15
160,16
162,17
104,18
194,19
82,20
91,21
11,22
26,23
142,24
39,25
92,26
76,27
124,28
64,29
118,30
6,31
22,32
147,33
126,34
36,35
73,36
89,37
11,38
151,39
10,40
97,41
30,42
42,43
60,44
85,45
134,46
34,47
45,48
24,49
86,50
119,51
151,52
142,53
176,54
157,55
67,56
97,57
8,58
154,59
139,60
51,61
33,62
184,63
46,64
12,65
133,66
46,67
46,68
12,69
33,70
15,71
176,72
23,73
89,74
124,75
163,76
25,77
74,78
78,79
114,80
96,81
10,82
172,83
166,84
115,85
70,86
94,87
56,88
86,89
96,90
50,91
73,92
154,93
129,94
171,95
71,96
105,97
113,98
37,99
7,100
13,101
22,102
9,103
120,104
100,105
107,106
41,107
153,108
126,109
59,110
18,111
66,112
13,113
14,114
139,115
13,116
75,117
8,118
109,119
137,120
41,121
192,122
23,123
86,124
184,125
15,126
195,127
126,128
120,129
165,130
101,131
116,132
126,133
36,134
7,135
122,136
159,137
88,138
173,139
146,140
130,141
108,142
53,143
162,144
59,145
100,146
56,147
145,148
76,149
57,150
31,151
88,152
173,153
34,154
7,155
133,156
172,157
6,158
22,159
83,160
82,161
84,162
95,163
174,164
111,165
72,166
109,167
87,168
