RUL,engine_number
112,1
98,2
69,3
82,4
91,5
93,6
91,7
95,8
111,9
96,10
97,11
124,12
95,13
107,14
83,15
84,16
50,17
28,18
87,19
16,20
57,21
111,22
113,23
20,24
145,25
119,26
66,27
97,28
90,29
115,30
8,31
48,32
106,33
7,34
11,35
19,36
21,37
50,38
142,39
28,40
18,41
10,42
59,43
109,44
114,45
47,46
135,47
92,48
21,49
79,50
114,51
29,52
26,53
97,54
137,55
15,56
103,57
37,58
114,59
100,60
21,61
54,62
72,63
28,64
128,65
14,66
77,67
8,68
121,69
94,70
118,71
50,72
131,73
126,74
113,75
10,76
34,77
107,78
63,79
90,80
8,81
9,82
137,83
58,84
118,85
89,86
116,87
115,88
136,89
28,90
38,91
20,92
85,93
55,94
128,95
137,96
82,97
59,98
117,99
20,100
